Zip,Total Households,"Less than $30,000","$30000 to $59,999","$60,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median HH Income,Avg HH Income,Avg HH Income for HH Income less than $200000,Avg HH Income for HH Income $200000 or more
601,5915,5225,532,76,31,31,20,9888,15892,14622,390045
602,13529,11489,1616,288,69,13,54,11384,18915,16225,690241
603,19153,15855,2451,566,156,69,56,10748,18756,17495,448736
604,1091,510,374,151,37,7,12,31199,39487,37447,222900
606,2015,1744,212,24,21,0,14,9243,16959,13914,452100
610,9266,7706,1295,164,47,25,29,12629,19598,17454,702628
612,25342,19923,4100,996,173,50,100,13000,21194,19473,455650
616,3569,3076,414,68,4,0,7,10476,17101,15359,903657
617,7805,6527,1040,148,29,14,47,11511,20425,16315,698887
622,3143,2447,496,124,47,9,20,13634,24769,20701,660050
623,14011,11284,2016,492,105,34,80,13565,21830,19246,471773
624,7731,6583,999,100,25,4,20,12194,17671,16175,594605
627,11457,9476,1519,342,73,5,42,13168,19509,18014,426060
631,712,672,38,2,0,0,0,8345,10735,10735,0
637,8878,7260,1344,190,64,12,8,12485,17991,17763,271000
638,6021,5164,701,83,34,13,26,10986,19016,15452,840662
641,11093,9721,1120,171,32,11,38,9901,15982,14311,501926
646,10913,7909,1984,628,235,54,103,16378,26896,23861,345386
647,1861,1639,175,26,9,12,0,9607,15264,15264,0
650,3946,3447,421,59,5,14,0,11544,15750,15750,0
652,1062,834,149,53,18,0,8,12097,26266,20053,844875
653,5413,4769,500,88,21,11,24,9770,16343,14288,477754
656,7187,6022,934,143,39,23,26,11361,18821,16537,647831
659,12693,10557,1517,359,145,51,64,12378,20501,18390,437167
660,5817,4373,1163,184,38,17,42,16745,26317,21498,688905
662,14297,11947,1831,291,99,42,87,11753,20285,17078,544163
664,5077,4259,656,114,12,18,18,11220,17176,16441,223589
667,9156,7629,1097,243,87,20,80,11426,22642,17023,660118
669,10288,9068,1034,168,6,0,12,9758,14840,14122,629317
670,3623,3243,300,60,11,0,9,9556,15670,13642,829911
674,15442,12187,2365,627,167,28,68,12820,22160,19450,634696
676,12743,10943,1455,231,68,7,39,11271,17457,15914,520123
677,5150,4340,617,154,15,5,19,11460,19019,16320,747679
678,8838,7578,968,216,43,14,19,12005,18548,16810,825405
680,26549,21162,3575,1179,344,127,162,12042,23199,19545,618415
682,8816,7392,1027,232,87,32,46,11121,21326,17182,811393
683,12130,9732,1868,305,112,29,84,13036,22158,18679,521133
685,15084,12993,1625,275,132,33,26,11014,16733,16252,294946
687,8793,7398,1128,173,52,12,30,12090,18712,16923,541460
688,4129,3431,552,82,34,12,18,11729,21234,17375,902644
690,1839,1447,310,36,42,0,4,12629,19864,19471,200000
692,10991,8854,1592,388,72,27,58,13691,22645,19243,663759
693,20502,15966,3291,902,203,41,99,13857,23140,20431,581474
698,15028,12490,1892,456,80,30,80,11924,19870,17271,505571
703,9123,7493,1234,271,46,26,53,12463,20881,18058,504140
704,2452,2168,260,13,0,0,11,11340,15755,14555,281964
705,8415,6827,1261,230,37,38,22,12725,20579,18794,701559
707,4011,3484,451,60,5,0,11,11638,16727,15491,466000
714,6160,5234,830,39,25,17,15,11484,17622,15820,755780
715,820,706,100,6,0,0,8,10556,15673,13574,228788
716,12597,9134,2307,751,273,40,92,15610,26179,23535,385508
717,8866,7221,1228,228,153,5,31,11697,19749,18104,488697
718,7878,6647,957,196,8,20,50,11461,20556,16126,714236
719,8977,7512,1193,193,39,6,34,12472,18685,17217,404747
720,7109,6325,654,97,17,0,16,9945,15347,13849,679138
