Zip,Total Housing Units,Urban ,Semi Urban,Rural: - Nonfarm,Rural: - Farm
601,6715,0,3891,2659,165
602,15590,15590,0,0,0
603,21667,21667,0,0,0
604,1184,1184,0,0,0
606,2272,0,1057,1092,123
610,10576,9522,0,1039,15
612,28797,26896,0,1857,44
616,3986,3572,0,414,0
617,8717,8242,0,475,0
622,6358,2502,0,3848,8
623,16824,15709,0,1115,0
624,8735,7620,0,1079,36
627,12520,10936,0,1574,10
631,761,0,0,713,48
637,9982,9165,0,811,6
638,6829,4974,0,1800,55
641,12347,840,7535,3806,166
646,13116,12894,0,222,0
647,2523,2280,0,243,0
650,4349,3533,0,808,8
652,1149,1063,0,86,0
653,6326,6016,0,310,0
656,8147,7335,0,790,22
659,13929,13001,0,922,6
660,6423,6382,0,35,6
662,16399,15967,0,423,9
664,5591,0,3690,1780,121
667,11111,8389,0,2711,11
669,11299,9143,0,2026,130
670,4168,1423,0,2576,169
674,17278,16062,0,1209,7
676,14253,13511,0,721,21
677,6827,6827,0,0,0
678,9685,9226,0,459,0
680,30313,29792,0,509,12
682,9783,9370,0,413,0
683,13542,12601,0,941,0
685,16859,14656,0,2136,67
687,9462,8726,0,711,25
688,4919,4055,0,858,6
690,2031,2031,0,0,0
692,12545,12074,0,471,0
693,22757,22014,0,743,0
698,17062,15052,0,1964,46
703,10310,9653,0,651,6
704,2970,2771,172,27,0
705,9163,8027,0,1126,10
707,4482,4134,0,348,0
714,7287,6994,0,293,0
715,926,865,0,61,0
716,13847,13847,0,0,0
717,10041,10041,0,0,0
718,8875,8022,0,848,5
719,9825,9825,0,0,0
720,7946,5741,0,2164,41
723,7677,5552,0,2103,22
725,51938,51569,0,364,5
728,16615,16219,0,396,0
729,17457,16985,0,472,0
730,14838,14838,0,0,0
731,6938,5274,40,1585,39
735,6742,6403,0,339,0
736,18589,17115,0,1457,17
738,15717,15406,0,311,0
739,13460,12667,0,789,4
740,1419,976,0,443,0
741,2333,2333,0,0,0
745,19928,17434,0,2494,0
751,9065,1260,6754,1030,21
754,14594,12512,0,2040,42
757,7569,0,6013,1538,18
765,4388,0,3753,618,17
766,8465,7043,0,1415,7
767,13688,12936,0,748,4
769,13249,419,10117,2680,33
771,12421,11531,0,890,0
772,8541,8484,0,57,0
773,9327,8825,0,502,0
775,1024,0,0,1024,0
777,13064,12807,0,257,0
778,12854,12384,0,470,0
780,3266,2693,0,573,0
782,6894,5879,0,1001,14
783,12386,11788,0,592,6
784,16209,14638,0,1571,0
791,20226,20125,0,101,0
794,9740,9345,0,395,0
795,16490,15079,42,1347,22
901,4131,4131,0,0,0
906,222,222,0,0,0
907,13505,13505,0,0,0
909,3467,3467,0,0,0
911,5534,5534,0,0,0
912,3867,3867,0,0,0
913,4107,4107,0,0,0
915,15436,15436,0,0,0
917,11584,11584,0,0,0
918,9170,9170,0,0,0
920,8807,8807,0,0,0
921,16503,16503,0,0,0
923,12995,12995,0,0,0
924,23373,23373,0,0,0
925,3518,3518,0,0,0
926,37829,37829,0,0,0
927,7101,7101,0,0,0
934,238,238,0,0,0
949,29103,29103,0,0,0
952,4241,4241,0,0,0
953,20620,20620,0,0,0
956,29027,29027,0,0,0
957,17384,17384,0,0,0
959,20207,20207,0,0,0
961,12858,12858,0,0,0
962,10366,10366,0,0,0
965,3064,3064,0,0,0
966,6476,6476,0,0,0
968,2029,2029,0,0,0
969,17578,17578,0,0,0
971,10353,10301,0,52,0
976,25596,25596,0,0,0
979,11819,11819,0,0,0
982,5828,5828,0,0,0
983,17384,17384,0,0,0
985,20993,20854,0,139,0
987,13674,13674,0,0,0
1001,7279,7022,0,257,0
1002,10177,0,9009,1162,6
1005,1980,0,0,1963,17
1007,5059,619,1570,2794,76
1008,522,0,0,507,15
1010,1401,0,0,1375,26
1011,1056,0,0,1042,14
1012,216,0,0,208,8
1013,10222,10222,0,0,0
1020,13016,12734,0,282,0
1022,1186,1182,0,4,0
1026,468,0,0,445,23
1027,7722,6804,0,912,6
1028,5379,5286,0,93,0
1029,995,0,0,995,0
1030,4380,3920,0,449,11
1031,529,0,149,377,3
1032,123,0,0,121,2
1033,2312,1068,0,1234,10
1034,1081,0,0,1064,17
1035,1953,897,95,941,20
1036,1830,990,0,818,22
1037,272,0,0,268,4
1038,1126,596,0,517,13
1039,489,168,0,307,14
1040,16210,15585,0,625,0
1050,1014,0,0,1007,7
1053,583,377,0,206,0
1054,567,0,0,561,6
1056,7815,7075,0,740,0
1057,3167,928,0,2216,23
1060,7409,6948,0,461,0
1062,4397,3673,0,724,0
1068,603,0,0,597,6
1069,4308,2474,0,1819,15
1070,298,0,0,286,12
1071,638,37,0,599,2
1072,681,0,0,679,2
1073,2025,312,0,1705,8
1075,6793,6427,0,359,7
1077,3533,2089,0,1434,10
1080,1108,865,0,243,0
1081,755,0,56,697,2
1082,4428,0,3134,1278,16
1083,895,0,503,385,7
1084,57,0,0,57,0
1085,15701,14165,0,1521,15
1088,270,34,0,236,0
1089,12259,12235,0,24,0
1092,493,0,284,209,0
1095,5116,4270,0,846,0
1096,1309,0,0,1302,7
1098,599,0,0,569,30
1103,1813,1813,0,0,0
1104,9467,9467,0,0,0
1105,5848,5848,0,0,0
1106,6053,6053,0,0,0
1107,4047,4047,0,0,0
1108,10788,10788,0,0,0
1109,10908,10908,0,0,0
1118,5830,5830,0,0,0
1119,4789,4789,0,0,0
1128,1044,1044,0,0,0
1129,2842,2842,0,0,0
1151,3622,3622,0,0,0
1201,22322,21165,0,1130,27
1220,4637,0,3892,740,5
1222,318,0,0,312,6
1223,1178,0,0,1176,2
1225,1195,109,0,1073,13
1226,3337,2104,0,1210,23
1230,4634,0,1812,2799,23
1235,1281,141,0,1121,19
1236,1003,0,433,565,5
1237,1138,534,0,594,10
1238,3177,0,2158,1019,0
1240,2997,492,1821,669,15
1242,42,0,42,0,0
1244,0,0,0,0,0
1245,817,0,0,810,7
1247,8072,0,6829,1228,15
1253,651,0,0,645,6
1254,555,0,0,547,8
1255,486,0,0,479,7
1256,326,0,0,326,0
1257,1245,0,0,1230,15
1258,129,0,0,127,2
1259,351,0,0,351,0
1262,497,0,331,166,0
1264,160,0,0,160,0
1266,1160,0,0,1153,7
1267,3256,0,2232,988,36
1301,8426,0,7535,880,11
1330,714,0,0,702,12
1331,5561,0,3339,2215,7
1337,1064,0,0,1052,12
1338,12,0,0,12,0
1339,940,0,0,919,21
1340,989,0,0,973,16
1341,722,0,0,698,24
1342,430,0,8,422,0
1344,352,0,44,308,0
1346,250,0,0,243,7
1349,692,0,615,77,0
1350,67,0,0,67,0
1351,1032,0,108,906,18
1355,400,0,0,396,4
1360,1262,0,0,1254,8
1364,3328,0,2223,1091,14
1366,470,0,0,454,16
1367,210,0,0,207,3
1368,528,0,0,519,9
1370,1907,0,0,1888,19
1373,2284,0,523,1694,67
1375,1666,0,1069,571,26
1376,2960,0,2518,428,14
1378,343,0,0,333,10
1379,414,0,0,408,6
1380,23,0,0,23,0
1420,16002,15178,0,824,0
1430,2211,0,0,2186,25
1431,1011,0,0,979,32
1432,3484,3123,0,361,0
1436,1078,814,0,264,0
1438,46,46,0,0,0
1440,9002,8461,0,541,0
1450,3393,1889,198,1299,7
1451,1807,26,0,1758,23
1452,1360,0,0,1325,35
1453,17026,16571,0,455,0
1460,3055,2299,0,742,14
1462,3668,2446,0,1222,0
1463,3917,107,2681,1095,34
1464,2158,1146,0,1005,7
1467,88,0,0,88,0
1468,1327,77,0,1244,6
1469,2065,787,0,1269,9
1473,2694,996,0,1688,10
1474,1117,648,0,469,0
1475,3635,63,2246,1317,9
1501,6533,6413,0,120,0
1503,893,235,0,646,12
1504,3331,3117,0,214,0
1505,1606,888,0,711,7
1506,1302,0,269,1020,13
1507,4008,1372,0,2612,24
1510,5844,5807,0,37,0
1515,849,0,521,328,0
1516,2597,926,0,1663,8
1518,1015,625,0,390,0
1519,2113,1763,0,325,25
1520,4754,4317,0,437,0
1521,1317,0,0,1317,0
1522,1073,454,0,606,13
1523,2091,1335,0,756,0
1524,2267,1709,0,558,0
1527,5109,4864,0,238,7
1529,958,626,0,332,0
1531,320,0,0,299,21
1532,5002,4643,0,352,7
1534,1672,1269,0,403,0
1535,1902,0,1298,599,5
1536,2521,2313,0,208,0
1537,851,597,0,254,0
1540,4362,3820,0,533,9
1541,1196,0,0,1179,17
1542,650,405,0,245,0
1543,2392,1392,0,940,60
1545,12704,12704,0,0,0
1550,7511,6760,0,745,6
1560,1201,938,0,263,0
1562,4938,3468,31,1420,19
1564,2637,1129,0,1487,21
1566,2320,999,0,1312,9
1568,2077,1041,0,1036,0
1569,4052,2823,0,1207,22
1570,7184,6772,0,412,0
1571,4280,3176,0,1104,0
1581,6773,6520,0,253,0
1583,2434,2123,0,311,0
1585,2362,0,1274,1078,10
1588,3298,3171,0,127,0
1590,2950,897,0,2013,40
1602,9577,9577,0,0,0
1603,7093,7093,0,0,0
1604,14725,14725,0,0,0
1605,9992,9992,0,0,0
1606,8089,8089,0,0,0
1607,3445,3445,0,0,0
1608,1348,1348,0,0,0
1609,8067,8067,0,0,0
1610,8449,8449,0,0,0
1611,924,843,0,81,0
1612,1461,708,0,753,0
1701,12235,11848,0,387,0
1702,14591,14591,0,0,0
1718,192,192,0,0,0
1719,1906,1848,0,58,0
1720,7454,7225,0,229,0
1721,5794,5680,0,114,0
1730,4708,4708,0,0,0
1731,849,849,0,0,0
1740,1476,162,0,1274,40
1741,1655,270,0,1365,20
1742,6187,5437,0,734,16
1745,179,179,0,0,0
1746,4868,4642,0,226,0
1747,2230,2230,0,0,0
1748,4548,3647,0,894,7
1749,7168,7061,0,107,0
1752,14903,14650,0,253,0
1754,4406,4406,0,0,0
1756,1886,888,0,987,11
1757,10772,10657,0,115,0
1760,13228,13031,0,197,0
1770,1451,477,0,939,35
1772,2818,2517,0,301,0
1773,2062,1406,0,656,0
1775,2128,1534,0,594,0
1776,5590,5079,0,511,0
1778,4783,4371,0,412,0
1801,15391,15391,0,0,0
1803,8445,8445,0,0,0
1810,11590,11590,0,0,0
1821,10035,10035,0,0,0
1824,9524,9524,0,0,0
1826,10643,10078,0,556,9
1827,940,207,0,722,11
1830,9720,9254,0,457,9
1832,8727,8727,0,0,0
1833,2616,1881,0,735,0
1834,2096,1871,0,218,7
1835,5290,5134,0,156,0
1840,2194,2194,0,0,0
1841,14754,14754,0,0,0
1843,8630,8630,0,0,0
1844,16908,16908,0,0,0
1845,9943,9326,0,617,0
1850,5911,5911,0,0,0
1851,10638,10638,0,0,0
1852,13498,13498,0,0,0
1854,9421,9421,0,0,0
1860,2295,1890,0,387,18
1862,3199,3096,0,103,0
1863,3520,3520,0,0,0
1864,4885,4804,0,81,0
1867,8823,8823,0,0,0
1876,9995,9995,0,0,0
1879,3791,3415,0,376,0
1880,9937,9937,0,0,0
1886,6941,6762,0,179,0
1887,7143,7143,0,0,0
1890,7908,7908,0,0,0
1902,19221,19221,0,0,0
1904,6798,6798,0,0,0
1905,8659,8659,0,0,0
1906,10081,10081,0,0,0
1907,5930,5930,0,0,0
1908,1704,1704,0,0,0
1913,6607,6607,0,0,0
1915,16275,16275,0,0,0
1921,2610,1376,0,1234,0
1922,954,445,0,499,10
1923,9762,9762,0,0,0
1929,1446,924,0,522,0
1930,13958,13004,0,954,0
1938,5601,3692,0,1888,21
1940,4273,4273,0,0,0
1944,2327,2199,0,128,0
1945,8906,8906,0,0,0
1949,2347,1998,0,349,0
1950,8651,8527,0,124,0
1951,1124,479,0,645,0
1952,4156,3596,0,552,8
1960,18898,18898,0,0,0
1966,4202,4185,0,17,0
1969,2004,1149,0,847,8
1970,18175,18175,0,0,0
1982,2825,2068,0,743,14
1983,2144,1592,0,552,0
1984,1320,1080,0,240,0
1985,1423,617,0,778,28
2019,5642,5095,0,539,8
2021,8163,7675,0,477,11
2025,2805,2759,0,46,0
2026,8945,8841,0,104,0
2030,1884,1023,0,861,0
2032,1399,1399,0,0,0
2035,6299,6012,0,271,16
2038,10327,9781,0,546,0
2043,7368,7090,0,278,0
2045,5366,5366,0,0,0
2048,8120,7945,0,175,0
2050,10549,10138,0,411,0
2052,4048,3850,0,198,0
2053,4248,4237,0,11,0
2054,3066,2670,0,396,0
2056,2861,2376,0,485,0
2061,3318,2202,0,1116,0
2062,11945,11871,0,66,8
2066,7090,7004,0,86,0
2067,6020,5141,0,879,0
2071,287,287,0,0,0
2072,10488,10308,0,180,0
2081,6549,6387,0,162,0
2090,5239,5111,0,128,0
2093,3507,2586,0,921,0
2108,2141,2141,0,0,0
2109,2251,2251,0,0,0
2110,974,974,0,0,0
2111,2218,2218,0,0,0
2113,4376,4376,0,0,0
2114,6960,6960,0,0,0
2115,10838,10838,0,0,0
2116,11777,11777,0,0,0
2118,11223,11223,0,0,0
2119,9686,9686,0,0,0
2120,4262,4262,0,0,0
2121,9793,9793,0,0,0
2122,8719,8719,0,0,0
2124,18228,18228,0,0,0
2125,12141,12141,0,0,0
2126,9785,9785,0,0,0
2127,14844,14844,0,0,0
2128,15078,15078,0,0,0
2129,7755,7755,0,0,0
2130,15436,15436,0,0,0
2131,12472,12472,0,0,0
2132,10329,10329,0,0,0
2134,9572,9572,0,0,0
2135,20434,20434,0,0,0
2136,11087,11087,0,0,0
2138,14964,14964,0,0,0
2139,14752,14752,0,0,0
2140,8130,8130,0,0,0
2141,5928,5928,0,0,0
2142,964,964,0,0,0
2143,11467,11467,0,0,0
2144,10690,10690,0,0,0
2145,10295,10295,0,0,0
2148,23634,23634,0,0,0
2149,15908,15908,0,0,0
2150,12337,12337,0,0,0
2151,20181,20181,0,0,0
2152,8067,8067,0,0,0
2155,22712,22712,0,0,0
2163,388,388,0,0,0
2169,24570,24570,0,0,0
2170,8101,8101,0,0,0
2171,7422,7422,0,0,0
2176,11248,11248,0,0,0
